DEBUG | Using proactor: IocpProactor
DEBUG | Using proactor: IocpProactor
WARNING | Not Found: /
DEBUG | Using proactor: IocpProactor
INFO | C:\Users\Ibrahim Khaleel\VisualStudioProjects\djangoprojects\fundoonote\myfundoonote\Notes\models.py changed, reloading.
DEBUG | Using proactor: IocpProactor
DEBUG | Using proactor: IocpProactor
DEBUG | validated data: {'first_name': 'Ibrahimji', 'last_name': 'Khaleelji', 'email': 'itisnoteasy@gmail.com', 'user_name': 'differentuser'}
INFO | C:\Users\Ibrahim Khaleel\VisualStudioProjects\djangoprojects\fundoonote\myfundoonote\myfundoonote\urls.py changed, reloading.
DEBUG | Using proactor: IocpProactor
DEBUG | Using proactor: IocpProactor
INFO | C:\Users\Ibrahim Khaleel\VisualStudioProjects\djangoprojects\fundoonote\myfundoonote\myfundooNotes\migrations\0001_initial.py changed, reloading.
DEBUG | Using proactor: IocpProactor
INFO | C:\Users\Ibrahim Khaleel\VisualStudioProjects\djangoprojects\fundoonote\myfundoonote\manage.py changed, reloading.
DEBUG | Using proactor: IocpProactor
